EvaluationIndex,LevelIndex,Score,LevelStatus,birdsRemaining,pigsRemaining,birdsAtStart,pigsAtStart, trial,levelName,playStatus,informed,novelty
1,203,29000,Pass,2,0,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00203_1_1_2_0.xml,training,uninformed,basic
2,157,36470,Pass,2,0,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00157_1_1_2_0.xml,training,uninformed,basic
3,118,24140,Fail,0,3,4,4, 0,./Levels/novelty_level_0/type2_win/Levels/00118_1_1_2_0.xml,training,uninformed,basic
4,225,26130,Pass,1,0,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00225_1_1_2_0.xml,training,uninformed,basic
5,204,33130,Pass,0,0,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00204_1_1_2_0.xml,training,uninformed,basic
6,63,1330,Fail,0,3,3,3, 0,./Levels/novelty_level_0/type2_win/Levels/00063_1_1_2_0.xml,training,uninformed,basic
7,58,25950,Pass,1,0,3,2, 0,./Levels/novelty_level_0/type2_win/Levels/00058_1_1_2_0.xml,training,uninformed,basic
8,18,63550,Pass,2,0,3,2, 0,./Levels/novelty_level_0/type2_win/Levels/00018_1_1_2_0.xml,training,uninformed,basic
9,142,47550,Pass,2,0,4,4, 0,./Levels/novelty_level_0/type2_win/Levels/00142_1_1_2_0.xml,training,uninformed,basic
10,7,50530,Pass,0,0,3,2, 0,./Levels/novelty_level_0/type2_win/Levels/00007_1_1_2_0.xml,training,uninformed,basic
11,114,38040,Pass,1,0,3,3, 0,./Levels/novelty_level_0/type2_win/Levels/00114_1_1_2_0.xml,training,uninformed,basic
12,29,45110,Pass,2,0,3,2, 0,./Levels/novelty_level_0/type2_win/Levels/00029_1_1_2_0.xml,training,uninformed,basic
13,328,37000,Pass,2,0,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00328_1_1_2_0.xml,training,uninformed,basic
14,320,32000,Pass,2,0,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00320_1_1_2_0.xml,training,uninformed,basic
15,36,15090,Fail,0,2,3,3, 0,./Levels/novelty_level_0/type2_win/Levels/00036_1_1_2_0.xml,training,uninformed,basic
16,140,19860,Fail,0,1,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00140_1_1_2_0.xml,training,uninformed,basic
17,36,15420,Fail,0,2,3,3, 0,./Levels/novelty_level_0/type2_win/Levels/00036_1_1_2_0.xml,training,uninformed,basic
18,98,27140,Fail,0,1,3,3, 0,./Levels/novelty_level_0/type2_win/Levels/00098_1_1_2_0.xml,training,uninformed,basic
19,159,48270,Fail,0,1,4,5, 0,./Levels/novelty_level_0/type2_win/Levels/00159_1_1_2_0.xml,training,uninformed,basic
20,69,53800,Pass,2,0,4,4, 0,./Levels/novelty_level_0/type2_win/Levels/00069_1_1_2_0.xml,training,uninformed,basic
21,317,33370,Pass,2,0,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00317_1_1_2_0.xml,training,uninformed,basic
22,220,35320,Pass,1,0,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00220_1_1_2_0.xml,training,uninformed,basic
23,99,35740,Fail,0,2,3,3, 0,./Levels/novelty_level_0/type2_win/Levels/00099_1_1_2_0.xml,training,uninformed,basic
24,24,29520,Pass,2,0,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00024_1_1_2_0.xml,training,uninformed,basic
25,95,37950,Fail,0,1,3,6, 0,./Levels/novelty_level_0/type2_win/Levels/00095_1_1_2_0.xml,training,uninformed,basic
26,302,25030,Pass,1,0,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00302_1_1_2_0.xml,training,uninformed,basic
27,303,38800,Pass,2,0,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00303_1_1_2_0.xml,training,uninformed,basic
28,42,25830,Pass,1,0,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00042_1_1_2_0.xml,training,uninformed,basic
29,103,64500,Fail,0,1,4,6, 0,./Levels/novelty_level_0/type2_win/Levels/00103_1_1_2_0.xml,training,uninformed,basic
30,167,71170,Pass,0,0,4,4, 0,./Levels/novelty_level_0/type2_win/Levels/00167_1_1_2_0.xml,training,uninformed,basic
31,92,38460,Fail,0,1,4,5, 0,./Levels/novelty_level_0/type2_win/Levels/00092_1_1_2_0.xml,training,uninformed,basic
32,135,38150,Fail,0,2,3,5, 0,./Levels/novelty_level_0/type2_win/Levels/00135_1_1_2_0.xml,training,uninformed,basic
33,311,39000,Pass,2,0,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00311_1_1_2_0.xml,training,uninformed,basic
34,135,39520,Fail,0,1,3,5, 0,./Levels/novelty_level_0/type2_win/Levels/00135_1_1_2_0.xml,training,uninformed,basic
35,201,32310,Pass,2,0,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00201_1_1_2_0.xml,training,uninformed,basic
36,83,21520,Fail,0,4,4,6, 0,./Levels/novelty_level_0/type2_win/Levels/00083_1_1_2_0.xml,training,uninformed,basic
37,309,35220,Pass,2,0,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00309_1_1_2_0.xml,training,uninformed,basic
38,47,48820,Pass,1,0,3,4, 0,./Levels/novelty_level_0/type2_win/Levels/00047_1_1_2_0.xml,training,uninformed,basic
39,48,50430,Fail,0,2,4,5, 0,./Levels/novelty_level_0/type2_win/Levels/00048_1_1_2_0.xml,training,uninformed,basic
40,62,20870,Fail,0,2,3,3, 0,./Levels/novelty_level_0/type2_win/Levels/00062_1_1_2_0.xml,training,uninformed,basic
41,102,49740,Pass,1,0,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00102_1_1_2_0.xml,training,uninformed,basic
42,322,27320,Pass,2,0,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00322_1_1_2_0.xml,training,uninformed,basic
43,62,42680,Fail,0,1,3,3, 0,./Levels/novelty_level_0/type2_win/Levels/00062_1_1_2_0.xml,training,uninformed,basic
44,103,63130,Pass,1,0,4,6, 0,./Levels/novelty_level_0/type2_win/Levels/00103_1_1_2_0.xml,training,uninformed,basic
45,57,34910,Pass,1,0,3,3, 0,./Levels/novelty_level_0/type2_win/Levels/00057_1_1_2_0.xml,training,uninformed,basic
46,142,44780,Pass,2,0,4,4, 0,./Levels/novelty_level_0/type2_win/Levels/00142_1_1_2_0.xml,training,uninformed,basic
47,184,30280,Fail,0,1,4,4, 0,./Levels/novelty_level_0/type2_win/Levels/00184_1_1_2_0.xml,training,uninformed,basic
