model,wall_time,loop_step,transition,env_id,level,episode_return,score,shots,win,memory_transitions,action_unique,action_entropy
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778936891.6616783,4,3,0,330,-1.1739999540150166,260,4,False,4,3,1.0397207708399179
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778936907.5723248,9,8,0,83,-1.2499999292194843,0,5,False,9,7,1.8891591637540217
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778936918.3831074,14,13,0,142,1.6540000140666962,29040,5,False,14,10,2.2055983590263932
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778936927.564381,18,17,0,42,-0.6429999507963657,5570,4,False,18,12,2.399204296202615
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778936934.1606643,21,20,0,88,4.8500001430511475,0,3,True,21,15,2.6235217562718085
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778936943.4817226,26,25,0,105,0.29200010001659393,15420,5,False,26,18,2.8114194983013414
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778936951.0347779,30,29,0,71,1.2430000305175781,24430,4,False,30,22,3.014077280571366
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778936960.1100323,35,34,0,30,0.3010001368820667,15510,5,False,35,25,3.1443140113476007
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778936969.125522,40,39,0,120,1.4110000915825367,26610,5,False,40,30,3.329224660239851
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778936976.478432,44,43,0,13,6.68999981507659,18900,4,True,44,31,3.3627106603200088
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778936986.7478082,49,48,0,103,1.7029999922960997,29530,5,False,49,35,3.4850576613873
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778936995.832674,54,53,0,184,-0.2609999515116215,9890,5,False,54,35,3.472144467072208
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937003.1343355,58,57,0,313,-1.0999999530613422,1000,4,False,58,37,3.5075426592372594
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937010.3412864,62,61,0,312,-1.1999999545514584,0,4,False,62,39,3.5471904035169928
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937019.4504392,67,66,0,5,2.3279999755322933,35780,5,False,67,40,3.5645732364007943
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937028.9979763,72,71,0,110,0.977000068873167,22270,5,False,72,43,3.6232372059090947
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937036.8125565,76,75,0,302,-0.9079999607056379,2920,4,False,76,45,3.649177623972286
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937040.5839295,78,77,0,319,9.865999460220337,49660,2,True,78,45,3.657082888713859
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937049.083846,82,81,0,122,1.1190000176429749,23190,4,False,82,48,3.71793430010582
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937054.3363357,85,84,0,207,6.958999823778868,21090,3,True,85,50,3.7557111603505984
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937061.5853882,89,88,0,176,-1.1039999537169933,960,4,False,89,51,3.7577284666655486
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937066.8602743,92,91,0,305,6.801999777555466,19520,3,True,92,52,3.7559457740129285
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937074.59342,96,95,0,193,7.312999900430441,25130,4,True,96,53,3.7661795563288214
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937082.7661378,100,99,0,21,1.706000030040741,29060,4,False,100,56,3.8250653526434375
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937090.0482426,104,103,0,36,0.05600007623434067,12560,4,False,104,57,3.8352742607591472
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937097.3838718,108,107,0,232,-0.16699998453259468,10330,4,False,108,59,3.872464863626481
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937105.0829945,112,111,0,24,-0.33799993619322777,8620,4,False,112,60,3.880532880941606
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937114.0291953,117,116,0,111,0.2640000954270363,15140,5,False,117,61,3.8791424913822166
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937121.1168337,121,120,0,99,0.9040000475943089,21040,4,False,121,61,3.8809130467542596
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937129.0984962,125,124,0,112,0.8640000931918621,20640,4,False,125,62,3.890660725081867
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937136.6828175,129,128,0,320,6.160999856889248,13610,4,True,129,63,3.897726402063869
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937143.9707894,133,132,0,60,-0.5999999828636646,6000,4,False,133,64,3.90689804901721
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937151.1855378,137,136,0,76,1.3070001117885113,25070,4,False,137,64,3.8913088331271832
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937158.2682295,141,140,0,327,5.412999801337719,6130,4,True,141,64,3.8832689921041297
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937161.952754,143,142,0,224,7.611999809741974,27120,2,True,143,64,3.8736810633761176
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937166.5945318,145,144,0,201,8.407999992370605,35080,2,True,145,65,3.8809414739587176
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937170.918729,147,146,0,143,7.769999980926514,28700,2,True,147,65,3.8698017361477546
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937178.3876042,151,150,0,149,0.6780000291764736,18780,4,False,151,65,3.854327971246356
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937185.984482,155,154,0,320,0.16300001740455627,13630,4,False,155,65,3.846766127709809
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937193.9718544,159,158,0,331,6.591999683529139,17920,4,True,159,65,3.8322764373137486
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937201.4332662,163,162,0,315,6.201999992132187,14020,4,True,163,65,3.81752343058625
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937205.1844032,165,164,0,231,8.599999904632568,37000,2,True,165,66,3.8288040751179055
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937213.9832945,169,168,0,310,7.784999616444111,29850,4,True,169,66,3.809941044019195
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937223.2516832,174,173,0,167,-0.19899995625019073,10510,5,False,174,67,3.8168037689228353
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937226.7852569,176,175,0,29,9.410999774932861,45110,2,True,176,68,3.825647318144164
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937237.2695928,181,180,0,77,1.027999922633171,22780,5,False,181,68,3.8176639745594767
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937244.3850908,185,184,0,219,-1.0499999523162842,1500,4,False,185,68,3.806044928179402
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937247.8305745,187,186,0,9,7.545999825000763,26460,2,True,187,69,3.815135329213474
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937251.4785373,189,188,0,223,8.379999876022339,34800,2,True,189,69,3.8052972852682605
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937258.7953162,193,192,0,86,0.2940001077950001,14940,4,False,193,69,3.7847133938566753
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937267.9006417,198,197,0,52,2.911000058054924,41610,5,False,198,70,3.789858869597578
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937275.222213,202,201,0,22,0.4500001221895218,16500,4,False,202,71,3.7985566556046315
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937282.5286064,206,205,0,162,-0.1430000178515911,10570,4,False,206,71,3.784281019841229
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937291.7676075,211,210,0,28,2.400000099092722,36500,5,False,211,71,3.7643410950036658
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937297.200125,214,213,0,204,7.915999889373779,30660,3,True,214,71,3.7513215770241493
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937306.4807982,219,218,0,72,3.213000103831291,44630,5,False,219,71,3.730079464920504
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937315.4884758,224,223,0,40,1.5550001375377178,28050,5,False,224,72,3.7255722347264473
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937325.0783522,229,228,0,122,2.088000163435936,33380,5,False,229,72,3.7136870824978123
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937332.2016091,233,232,0,78,2.9010001718997955,41010,4,False,233,72,3.7119186435122877
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937335.6362708,235,234,0,202,7.911999762058258,30120,2,True,235,72,3.6997112826642455
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937344.90209,240,239,0,108,0.313000101596117,15630,5,False,240,72,3.708032173349012
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937352.1698225,244,243,0,18,-0.5399999395012856,6600,4,False,244,72,3.697609413963898
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937357.7851465,247,246,0,322,7.2499999068677425,24000,3,True,247,72,3.691597469883517
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937365.3174155,251,250,0,229,-0.2099999599158764,9900,4,False,251,72,3.6729444542268768
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937370.8620884,254,253,0,305,6.557999785989523,17080,3,True,254,72,3.6645342808553556
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937376.3857086,257,256,0,84,9.188999831676483,43390,3,True,257,72,3.666676174484345
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937380.0798883,259,258,0,324,7.859999775886536,29600,2,True,259,72,3.6719310285019695
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937389.4587848,264,263,0,88,4.181000165641308,54310,5,False,264,73,3.6845968230347492
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937396.7959476,268,267,0,95,2.050000086426735,32500,4,False,268,73,3.6815389682014805
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937402.322201,271,270,0,42,6.40399981290102,15540,3,True,271,73,3.686977355277844
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937411.732772,276,275,0,163,0.4030000902712345,16530,5,False,276,73,3.685599029321004
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937419.2367814,280,279,0,7,0.484000064432621,16840,4,False,280,73,3.6828211118676166
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937424.862237,283,282,0,143,7.981999881565571,31320,3,True,283,73,3.6778900451902268
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937430.669557,286,285,0,330,7.954999815672636,31050,3,True,286,73,3.6736960994959973
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937438.1101246,290,289,0,12,-0.4589999783784151,7410,4,False,290,73,3.6637763567016814
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937441.6631694,292,291,0,308,7.699999809265137,28000,2,True,292,73,3.6582290794501495
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937450.979451,297,296,0,48,0.04900004714727402,12990,5,False,297,73,3.645175672570139
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937458.7701268,301,300,0,181,-0.19600002467632294,10040,4,False,301,73,3.638749454304993
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937466.938259,305,304,0,302,6.374999709427357,15750,4,True,305,73,3.6274913312684482
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937476.166931,310,309,0,115,0.3590000495314598,16090,5,False,310,73,3.617393875781898
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937479.6129506,312,311,0,314,7.499999821186066,26000,2,True,312,74,3.623467407325947
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937483.7213757,314,313,0,193,8.068999886512756,31690,2,True,314,74,3.6174816087412998
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937491.1600976,318,317,0,320,-1.1079999543726444,920,4,False,318,74,3.612126344434784
ab_agent_20260516_220759_rainbow_D_full_n3_noisy,1778937498.3464289,322,321,0,319,-1.1999999545514584,0,4,False,322,75,3.6149163930167063
