EvaluationIndex,LevelIndex,Score,LevelStatus,birdsRemaining,pigsRemaining,birdsAtStart,pigsAtStart, trial,levelName,playStatus,informed,novelty
1,221,44400,Pass,2,0,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00221_1_1_2_0.xml,training,uninformed,basic
2,61,10990,Fail,0,3,4,4, 0,./Levels/novelty_level_0/type2_win/Levels/00061_1_1_2_0.xml,training,uninformed,basic
3,217,730,Fail,0,1,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00217_1_1_2_0.xml,training,uninformed,basic
4,214,12630,Fail,0,1,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00214_1_1_2_0.xml,training,uninformed,basic
5,222,27230,Pass,1,0,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00222_1_1_2_0.xml,training,uninformed,basic
6,46,60780,Fail,0,2,4,4, 0,./Levels/novelty_level_0/type2_win/Levels/00046_1_1_2_0.xml,training,uninformed,basic
7,69,33080,Fail,0,1,4,4, 0,./Levels/novelty_level_0/type2_win/Levels/00069_1_1_2_0.xml,training,uninformed,basic
8,234,9910,Fail,0,1,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00234_1_1_2_0.xml,training,uninformed,basic
9,39,12940,Fail,0,5,4,6, 0,./Levels/novelty_level_0/type2_win/Levels/00039_1_1_2_0.xml,training,uninformed,basic
10,74,31290,Fail,0,2,4,5, 0,./Levels/novelty_level_0/type2_win/Levels/00074_1_1_2_0.xml,training,uninformed,basic
11,29,41260,Pass,2,0,3,2, 0,./Levels/novelty_level_0/type2_win/Levels/00029_1_1_2_0.xml,training,uninformed,basic
12,205,12590,Fail,0,1,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00205_1_1_2_0.xml,training,uninformed,basic
13,319,18140,Pass,0,0,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00319_1_1_2_0.xml,training,uninformed,basic
14,54,4730,Fail,0,6,4,6, 0,./Levels/novelty_level_0/type2_win/Levels/00054_1_1_2_0.xml,training,uninformed,basic
15,234,37960,Pass,2,0,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00234_1_1_2_0.xml,training,uninformed,basic
16,105,17000,Fail,0,3,4,4, 0,./Levels/novelty_level_0/type2_win/Levels/00105_1_1_2_0.xml,training,uninformed,basic
17,61,23710,Fail,0,2,4,4, 0,./Levels/novelty_level_0/type2_win/Levels/00061_1_1_2_0.xml,training,uninformed,basic
18,231,1360,Fail,0,1,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00231_1_1_2_0.xml,training,uninformed,basic
19,328,11000,Pass,0,0,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00328_1_1_2_0.xml,training,uninformed,basic
20,1,9630,Fail,0,2,3,3, 0,./Levels/novelty_level_0/type2_win/Levels/00001_1_1_2_0.xml,training,uninformed,basic
21,18,7200,Fail,0,1,3,2, 0,./Levels/novelty_level_0/type2_win/Levels/00018_1_1_2_0.xml,training,uninformed,basic
