EvaluationIndex,LevelIndex,Score,LevelStatus,birdsRemaining,pigsRemaining,birdsAtStart,pigsAtStart, trial,levelName,playStatus,informed,novelty
1,311,38620,Pass,2,0,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00311_1_1_2_0.xml,training,uninformed,basic
2,184,34940,Pass,1,0,4,4, 0,./Levels/novelty_level_0/type2_win/Levels/00184_1_1_2_0.xml,training,uninformed,basic
3,384,8780,Pass,0,0,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00384_1_1_2_0.xml,training,uninformed,basic
4,275,29000,Pass,2,0,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00275_1_1_2_0.xml,training,uninformed,basic
5,170,24690,Fail,0,1,3,3, 0,./Levels/novelty_level_0/type2_win/Levels/00170_1_1_2_0.xml,training,uninformed,basic
6,27,19770,Fail,0,3,4,6, 0,./Levels/novelty_level_0/type2_win/Levels/00027_1_1_2_0.xml,training,uninformed,basic
7,24,16500,Pass,0,0,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00024_1_1_2_0.xml,training,uninformed,basic
8,39,14600,Fail,0,5,4,6, 0,./Levels/novelty_level_0/type2_win/Levels/00039_1_1_2_0.xml,training,uninformed,basic
9,22,27470,Fail,0,1,3,2, 0,./Levels/novelty_level_0/type2_win/Levels/00022_1_1_2_0.xml,training,uninformed,basic
10,309,5330,Fail,0,1,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00309_1_1_2_0.xml,training,uninformed,basic
11,395,3290,Fail,0,1,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00395_1_1_2_0.xml,training,uninformed,basic
12,84,0,Fail,0,3,3,3, 0,./Levels/novelty_level_0/type2_win/Levels/00084_1_1_2_0.xml,training,uninformed,basic
13,140,16930,Fail,0,1,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00140_1_1_2_0.xml,training,uninformed,basic
14,238,1760,Fail,0,1,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00238_1_1_2_0.xml,training,uninformed,basic
15,301,7640,Fail,0,1,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00301_1_1_2_0.xml,training,uninformed,basic
16,185,18710,Fail,0,3,3,3, 0,./Levels/novelty_level_0/type2_win/Levels/00185_1_1_2_0.xml,training,uninformed,basic
17,365,22970,Pass,0,0,3,1, 0,./Levels/novelty_level_0/type2_win/Levels/00365_1_1_2_0.xml,training,uninformed,basic
18,145,10870,Fail,0,4,4,4, 0,./Levels/novelty_level_0/type2_win/Levels/00145_1_1_2_0.xml,training,uninformed,basic
